benchmark,phase,iteration,time_ns_per_op
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,1,159458.095
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,2,79609.289
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,3,64315.010
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,4,52423.449
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,5,78272.565
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,6,102080.899
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,7,158294.114
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,8,48469.296
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,9,33035.470
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,10,35703.332
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,11,33778.809
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,12,36219.895
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,13,48156.702
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,14,40537.149
AutenticazioneServiceBenchmark.loginInvalidPassword,warmup,15,29563.650
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,1,34547.886
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,2,33417.470
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,3,47311.894
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,4,31204.562
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,5,33537.618
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,6,37328.651
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,7,33635.482
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,8,27319.241
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,9,27952.133
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,10,53402.415
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,11,61444.241
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,12,50894.850
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,13,44506.683
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,14,36392.767
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,15,31043.151
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,16,65861.138
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,17,30418.720
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,18,30477.003
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,19,66066.808
AutenticazioneServiceBenchmark.loginInvalidPassword,iter,20,56091.862
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,1,89273.502
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,2,53795.465
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,3,47043.275
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,4,35300.437
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,5,25663.581
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,6,26278.462
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,7,29196.544
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,8,39367.631
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,9,32138.515
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,10,30467.931
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,11,36286.704
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,12,52089.496
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,13,51463.510
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,14,74683.150
AutenticazioneServiceBenchmark.loginNonExistentUser,warmup,15,37685.343
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,1,47531.113
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,2,39646.334
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,3,34120.000
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,4,33753.635
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,5,40993.307
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,6,30476.380
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,7,42628.653
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,8,48402.156
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,9,40910.735
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,10,30963.478
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,11,30182.922
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,12,29635.614
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,13,137809.623
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,14,35759.134
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,15,49562.369
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,16,59031.956
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,17,53291.350
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,18,33608.959
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,19,32680.922
AutenticazioneServiceBenchmark.loginNonExistentUser,iter,20,69304.407
AutenticazioneServiceBenchmark.loginValidCredentials,warmup,1,184742.805
AutenticazioneServiceBenchmark.loginValidCredentials,warmup,2,76278.003
AutenticazioneServiceBenchmark.loginValidCredentials,warmup,3,71411.482
AutenticazioneServiceBenchmark.loginValidCredentials,warmup,4,58347.169
AutenticazioneServiceBenchmark.loginValidCredentials,warmup,5,61736.296
