Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765626923469,3204,3204,3204,3204,3204,3204,3204,3204,NaN,50,NaN,50,0,0,0,0,6.051142692565918,17179869184,0,9551642624,0
201,1765626923469,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,100,NaN,0,0,NaN,NaN,6.051142692565918,17179869184,0,9550561280,0
204,1765626923671,3204,3204,3204,3204,3204,3204,3204,3204,77.2727279663086,80,75,70,42.85714340209961,57.142860412597656,15.000000953674316,25,6.051142692565918,17179869184,0,9600106496,0
201,1765626923876,3204,3204,3204,3204,3204,3204,3204,3204,85,77.2727279663086,76.19047546386719,80.95238494873047,36.842105865478516,38.095237731933594,19.047618865966797,25,6.051142692565918,17179869184,0,9775644672,0
204,1765626924078,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,57.894737243652344,55.55555725097656,42.105262756347656,47.619049072265625,15.789472579956055,20,14.285715103149414,6.051142692565918,17179869184,0,9906651136,0
200,1765626924282,3204,3204,3204,3204,3204,3204,3204,3204,50,42.105262756347656,36.3636360168457,40,31.57894515991211,9.523809432983398,0,0,5.01740026473999,17179869184,0,9949822976,0
202,1765626924483,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,19.047618865966797,15.789472579956055,14.285715103149414,23.809524536132813,20,9.523809432983398,0,5.01740026473999,17179869184,0,9949822976,0
200,1765626924686,3204,3204,3204,3204,3204,3204,3204,3204,20,20,25,15.000000953674316,25,10,5,0,5.01740026473999,17179869184,0,9949822976,0
201,1765626924887,3204,3204,3204,3204,3204,3204,3204,3204,40,40,38.095237731933594,25,30.000001907348633,25,19.047618865966797,9.523809432983398,5.01740026473999,17179869184,0,9949822976,0
203,1765626925089,3204,3204,3204,3204,3204,3204,3204,3204,40,45,47.36842346191406,35,30.000001907348633,10,5.263157844543457,0,5.01740026473999,17179869184,0,9984065536,0
200,1765626925292,3204,3204,3204,3204,3204,3204,3204,3204,50,50,38.095237731933594,35,5,0,0,0,8.647934913635254,17179869184,0,9960325120,0
