Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765624202738,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,0,0,0,0,0,0,4.624624252319336,17179869184,0,9974824960,0
204,1765624202739,3204,3204,3204,3204,3204,3204,3204,3204,0,66.66667175292969,NaN,NaN,NaN,0,0,NaN,4.624624252319336,17179869184,0,9974644736,0
204,1765624202944,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,52.6315803527832,52.38095474243164,42.85714340209961,57.142860412597656,33.333335876464844,20,42.85714340209961,4.624624252319336,17179869184,0,9974218752,0
204,1765624203148,3204,3204,3204,3204,3204,3204,3204,3204,50,45,50,45,45,45,15.000000953674316,23.809524536132813,4.624624252319336,17179869184,0,9974218752,0
202,1765624203353,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,23.809524536132813,19.047618865966797,19.047618865966797,38.095237731933594,25,14.285715103149414,5,4.634603500366211,17179869184,0,10304143360,0
204,1765624203556,3204,3204,3204,3204,3204,3204,3204,3204,10.526315689086914,15.000000953674316,10,10,38.095237731933594,5,0,0,4.634603500366211,17179869184,0,10391109632,0
201,1765624203761,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,15.789472579956055,10,10,36.842105865478516,9.090909004211426,4.761904716491699,4.761904716491699,4.634603500366211,17179869184,0,10503880704,0
204,1765624203962,3204,3204,3204,3204,3204,3204,3204,3204,25,28.571430206298828,25,25,25,15.789472579956055,0,0,4.634603500366211,17179869184,0,10470883328,0
204,1765624204168,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,15.000000953674316,9.523809432983398,28.571430206298828,14.285715103149414,9.090909004211426,4.761904716491699,4.634603500366211,17179869184,0,10424729600,0
201,1765624204373,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,20,23.809524536132813,9.523809432983398,15.000000953674316,5,0,0,7.501160144805908,17179869184,0,10412752896,0
204,1765624204574,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,5,0,0,0,0,0,0,7.501160144805908,17179869184,0,10412687360,0
199,1765624204779,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,20,15.000000953674316,19.047618865966797,9.523809432983398,0,0,0,7.501160144805908,17179869184,0,10403168256,0
202,1765624204979,3204,3204,3204,3204,3204,3204,3204,3204,20,15.000000953674316,15.000000953674316,10,25,10.526315689086914,19.047618865966797,0,7.501160144805908,17179869184,0,10403168256,0
