Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765555309103,3204,3204,3204,3204,3204,3204,3204,3204,NaN,100,100,100,0,0,0,0,8.540433883666992,17179869184,0,9404514304,0
204,1765555309103,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,100,NaN,0,NaN,100,0,8.540433883666992,17179869184,0,9403858944,0
204,1765555309308,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,60.000003814697266,47.619049072265625,15.000000953674316,22.72727394104004,14.603843688964844,17179869184,0,9447604224,0
201,1765555309513,3204,3204,3204,3204,3204,3204,3204,3204,95,95,95,95,45,20,23.809524536132813,15.789472579956055,14.603843688964844,17179869184,0,9447604224,0
200,1765555309715,3204,3204,3204,3204,3204,3204,3204,3204,80,78.94737243652344,80,78.94737243652344,38.095237731933594,10,10,4.761904716491699,14.603843688964844,17179869184,0,9531473920,0
200,1765555309916,3204,3204,3204,3204,3204,3204,3204,3204,22.22222328186035,15.789472579956055,11.111111640930176,10.526315689086914,75,73.68421173095703,66.66667175292969,57.894737243652344,14.603843688964844,17179869184,0,9519644672,0
203,1765555310118,3204,3204,3204,3204,3204,3204,3204,3204,68.42105102539063,63.15789031982422,65,63.15789031982422,10.526315689086914,10,10,10.526315689086914,14.603843688964844,17179869184,0,9519628288,0
201,1765555310322,3204,3204,3204,3204,3204,3204,3204,3204,85,90,85,85,10,5,4.761904716491699,0,10.598834991455078,17179869184,0,9526804480,0
200,1765555310524,3204,3204,3204,3204,3204,3204,3204,3204,85,80,78.94737243652344,80,0,0,0,0,10.598834991455078,17179869184,0,9526804480,0
199,1765555310725,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,84.21052551269531,84.21052551269531,77.77777862548828,10,9.523809432983398,5,9.523809432983398,10.598834991455078,17179869184,0,9536061440,0
200,1765555310925,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,83.33332824707031,75,75,25,10,5,25,10.598834991455078,17179869184,0,9547333632,0
200,1765555311126,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,80,78.94737243652344,78.94737243652344,20,15.000000953674316,5,0,10.598834991455078,17179869184,0,9532080128,0
200,1765555311328,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,78.94737243652344,77.77777862548828,78.94737243652344,10,0,5,0,12.361896514892578,17179869184,0,9533112320,0
199,1765555311528,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,78.94737243652344,80,75,0,0,0,0,12.361896514892578,17179869184,0,9533112320,0
199,1765555311729,3204,3204,3204,3204,3204,3204,3204,3204,80,80,78.94737243652344,78.94737243652344,10,5,4.761904716491699,0,12.361896514892578,17179869184,0,9533259776,0
200,1765555311929,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,72.22222137451172,73.68421173095703,72.22222137451172,0,0,0,0,12.361896514892578,17179869184,0,9533194240,0
204,1765555312130,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,84.21052551269531,78.94737243652344,78.94737243652344,0,0,0,0,12.361896514892578,17179869184,0,9511387136,0
203,1765555312335,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95.23809814453125,100,95.45454406738281,5,4.761904716491699,0,4.761904716491699,8.845638275146484,17179869184,0,9505406976,0
201,1765555312539,3204,3204,3204,3204,3204,3204,3204,3204,100,100,95.23809814453125,100,4.761904716491699,4.761904716491699,0,0,8.845638275146484,17179869184,0,9502179328,0
204,1765555312740,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,5.263157844543457,0,0,0,8.845638275146484,17179869184,0,9491906560,0
200,1765555312945,3204,3204,3204,3204,3204,3204,3204,3204,95,95,100,90.47618865966797,75,5,4.761904716491699,0,8.845638275146484,17179869184,0,9495019520,0
203,1765555313145,3204,3204,3204,3204,3204,3204,3204,3204,83.33332824707031,78.94737243652344,80,78.94737243652344,36.3636360168457,30.000001907348633,15.000000953674316,14.285715103149414,8.845638275146484,17179869184,0,9495019520,0
203,1765555313350,3204,3204,3204,3204,3204,3204,3204,3204,80,80,75,72.22222137451172,15.789472579956055,13.636363983154297,10,0,7.750423431396484,17179869184,0,9495019520,0
203,1765555313553,3204,3204,3204,3204,3204,3204,3204,3204,80,78.94737243652344,78.94737243652344,75,4.761904716491699,0,4.761904716491699,0,7.750423431396484,17179869184,0,9495019520,0
201,1765555313758,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,84.21052551269531,80,78.94737243652344,10,0,0,0,7.750423431396484,17179869184,0,9539551232,0
203,1765555313959,3204,3204,3204,3204,3204,3204,3204,3204,85,80,80,80,10,5,0,0,7.750423431396484,17179869184,0,9538011136,0
203,1765555314164,3204,3204,3204,3204,3204,3204,3204,3204,73.68421173095703,75,72.22222137451172,70,0,0,0,0,9.448749542236328,17179869184,0,9537585152,0
201,1765555314368,3204,3204,3204,3204,3204,3204,3204,3204,89.47368621826172,84.21052551269531,84.21052551269531,84.21052551269531,15.000000953674316,19.047618865966797,13.636363983154297,28.571430206298828,9.448749542236328,17179869184,0,9518596096,0
201,1765555314569,3204,3204,3204,3204,3204,3204,3204,3204,85,84.21052551269531,80,75,25,15.789472579956055,10.526315689086914,50,9.448749542236328,17179869184,0,9516072960,0
203,1765555314771,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,78.94737243652344,84.21052551269531,77.77777862548828,20,10,10,0,9.448749542236328,17179869184,0,9545351168,0
202,1765555314975,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,80,78.94737243652344,73.68421173095703,10,5,0,4.761904716491699,9.448749542236328,17179869184,0,9544843264,0
201,1765555315177,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,84.21052551269531,75,75,4.761904716491699,9.090909004211426,4.761904716491699,0,8.220108032226563,17179869184,0,9567731712,0
203,1765555315380,3204,3204,3204,3204,3204,3204,3204,3204,85,80,78.94737243652344,73.68421173095703,5,0,0,0,8.220108032226563,17179869184,0,9569009664,0
204,1765555315583,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,84.21052551269531,78.94737243652344,78.94737243652344,19.047618865966797,15.000000953674316,14.285715103149414,9.523809432983398,8.220108032226563,17179869184,0,9569009664,0
204,1765555315788,3204,3204,3204,3204,3204,3204,3204,3204,85,85,85,80,21.052631378173828,23.809524536132813,5.263157844543457,0,8.220108032226563,17179869184,0,9634758656,0
204,1765555315992,3204,3204,3204,3204,3204,3204,3204,3204,85,80,80,80,23.809524536132813,14.285715103149414,4.761904716491699,0,8.220108032226563,17179869184,0,9613754368,0
203,1765555316196,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,15.789472579956055,5,14.285715103149414,4.761904716491699,9.006912231445313,17179869184,0,9611853824,0
