Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765557656762,3204,3204,3204,3204,3204,3204,3204,3204,50,NaN,NaN,50,0,0,0,0,6.684030532836914,17179869184,0,9034498048,0
204,1765557656762,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,0,NaN,NaN,NaN,0,0,6.684030532836914,17179869184,0,9034498048,0
202,1765557656967,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,57.142860412597656,66.66667175292969,71.42857360839844,35,66.66667175292969,23.809524536132813,10,6.684030532836914,17179869184,0,9034498048,0
202,1765557657169,3204,3204,3204,3204,3204,3204,3204,3204,78.94737243652344,78.94737243652344,78.94737243652344,80,66.66667175292969,55,42.105262756347656,42.85714340209961,6.684030532836914,17179869184,0,9034498048,0
204,1765557657373,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,55,57.142860412597656,52.38095474243164,28.571430206298828,15.000000953674316,5,10,6.684030532836914,17179869184,0,9279979520,0
204,1765557657578,3204,3204,3204,3204,3204,3204,3204,3204,55,55,40,47.36842346191406,5.263157844543457,5,4.761904716491699,0,6.836404800415039,17179869184,0,9284911104,0
203,1765557657783,3204,3204,3204,3204,3204,3204,3204,3204,45,57.142860412597656,38.095237731933594,50,0,0,0,0,6.836404800415039,17179869184,0,9284534272,0
201,1765557657986,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,60.000003814697266,63.15789031982422,61.904762268066406,10,4.761904716491699,0,0,6.836404800415039,17179869184,0,9284730880,0
201,1765557658189,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,57.142860412597656,61.904762268066406,63.15789031982422,4.761904716491699,0,0,0,6.836404800415039,17179869184,0,9267920896,0
200,1765557658390,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,63.15789031982422,60.000003814697266,57.142860412597656,10,0,0,4.761904716491699,6.836404800415039,17179869184,0,9243459584,0
202,1765557658591,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,50,50,40,5.263157844543457,5,4.761904716491699,0,10.939817428588867,17179869184,0,9243459584,0
201,1765557658793,3204,3204,3204,3204,3204,3204,3204,3204,50,47.619049072265625,47.36842346191406,35,4.761904716491699,0,0,0,10.939817428588867,17179869184,0,9208020992,0
204,1765557658995,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,47.36842346191406,55,50,5,9.090909004211426,0,0,10.939817428588867,17179869184,0,9202335744,0
199,1765557659200,3204,3204,3204,3204,3204,3204,3204,3204,45,45,42.85714340209961,50,0,0,0,0,10.939817428588867,17179869184,0,9200140288,0
204,1765557659401,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,50,50,40,0,0,0,0,10.939817428588867,17179869184,0,9200304128,0
203,1765557659606,3204,3204,3204,3204,3204,3204,3204,3204,55,47.619049072265625,42.85714340209961,47.619049072265625,0,0,0,0,8.231298446655273,17179869184,0,9199976448,0
200,1765557659809,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,45,45,42.105262756347656,0,0,0,0,8.231298446655273,17179869184,0,9197174784,0
201,1765557660011,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,36.842105865478516,47.619049072265625,4.761904716491699,0,0,0,8.231298446655273,17179869184,0,9199714304,0
202,1765557660212,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,55,52.38095474243164,52.6315803527832,5,0,0,0,8.231298446655273,17179869184,0,9199714304,0
203,1765557660415,3204,3204,3204,3204,3204,3204,3204,3204,55,55,52.6315803527832,50,5,0,0,0,8.231298446655273,17179869184,0,9209102336,0
199,1765557660619,3204,3204,3204,3204,3204,3204,3204,3204,45,35,42.85714340209961,42.85714340209961,0,0,0,0,7.775632858276367,17179869184,0,9209233408,0
204,1765557660819,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,57.894737243652344,60.000003814697266,55,40,20,15.000000953674316,10,7.775632858276367,17179869184,0,9209233408,0
203,1765557661025,3204,3204,3204,3204,3204,3204,3204,3204,50,52.38095474243164,42.105262756347656,45,19.047618865966797,4.761904716491699,0,0,7.775632858276367,17179869184,0,9209233408,0
204,1765557661228,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,45,57.142860412597656,42.85714340209961,15.000000953674316,5,0,0,7.775632858276367,17179869184,0,9209233408,0
204,1765557661433,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,52.38095474243164,55,47.36842346191406,0,0,0,0,8.174959182739258,17179869184,0,9210380288,0
