Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765622567334,3204,3204,3204,3204,3204,3204,3204,3204,NaN,100,NaN,100,0,0,0,0,4.515192031860352,17179869184,0,9970057216,0
215,1765622567335,3204,3204,3204,3204,3204,3204,3204,3204,100,NaN,100,NaN,100,NaN,NaN,0,4.515192031860352,17179869184,0,9970188288,0
204,1765622567551,3204,3204,3204,3204,3204,3204,3204,3204,95.65217590332031,100,100,100,38.095237731933594,45.45454788208008,18.18181800842285,42.85714340209961,4.515192031860352,17179869184,0,10045472768,0
204,1765622567756,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,52.38095474243164,38.095237731933594,35,47.619049072265625,4.515192031860352,17179869184,0,10047291392,0
202,1765622567961,3204,3204,3204,3204,3204,3204,3204,3204,95,85.71428680419922,90,90.47618865966797,45,25,5,5,4.515192031860352,17179869184,0,10227302400,0
202,1765622568164,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,94.73684692382813,95,90,30.000001907348633,0,4.761904716491699,0,4.515192031860352,17179869184,0,10272768000,0
204,1765622568367,3204,3204,3204,3204,3204,3204,3204,3204,100,95.23809814453125,95.23809814453125,100,25,10,4.761904716491699,0,4.87662410736084,17179869184,0,10353721344,0
202,1765622568571,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95.23809814453125,95,95,19.047618865966797,0,0,0,4.87662410736084,17179869184,0,10353721344,0
203,1765622568774,3204,3204,3204,3204,3204,3204,3204,3204,90,95,90,95,33.333335876464844,28.571430206298828,5,0,4.87662410736084,17179869184,0,10353721344,0
204,1765622568977,3204,3204,3204,3204,3204,3204,3204,3204,90,90,85.71428680419922,89.47368621826172,0,0,0,0,4.87662410736084,17179869184,0,10321379328,0
204,1765622569182,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,61.904762268066406,55,57.142860412597656,5,4.761904716491699,0,0,4.87662410736084,17179869184,0,10342137856,0
203,1765622569387,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,65,45,47.619049072265625,0,0,0,0,8.895722389221191,17179869184,0,10327146496,0
203,1765622569591,3204,3204,3204,3204,3204,3204,3204,3204,55,57.894737243652344,55,40,25,15.000000953674316,9.523809432983398,9.523809432983398,8.895722389221191,17179869184,0,10278240256,0
201,1765622569795,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,50,38.095237731933594,40,0,0,0,0,8.895722389221191,17179869184,0,10271637504,0
202,1765622569997,3204,3204,3204,3204,3204,3204,3204,3204,50,45,31.57894515991211,30.000001907348633,0,0,0,0,8.895722389221191,17179869184,0,10267230208,0
204,1765622570199,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.38095474243164,45,42.85714340209961,10,5.263157844543457,0,10,8.895722389221191,17179869184,0,10210934784,0
204,1765622570404,3204,3204,3204,3204,3204,3204,3204,3204,70,75,66.66667175292969,68.42105102539063,47.619049072265625,38.095237731933594,25,20,6.074638366699219,17179869184,0,10210934784,0
200,1765622570609,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85,90,76.19047546386719,35,15.000000953674316,14.285715103149414,4.761904716491699,6.074638366699219,17179869184,0,10210934784,0
204,1765622570810,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,76.19047546386719,80.95238494873047,80,5,4.761904716491699,0,0,6.074638366699219,17179869184,0,10210934784,0
