Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764541077515,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,NaN,0,0,0,0,0,8.003288269042969,17179869184,0,9321267200,0
200,1764541077515,3204,3204,3204,3204,3204,3204,3204,3204,50,100,0,NaN,50,NaN,NaN,0,8.003288269042969,17179869184,0,9321267200,0
204,1764541077715,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,26.3157901763916,42.85714340209961,23.809524536132813,50,25,10,0,8.003288269042969,17179869184,0,9321267200,0
205,1764541077920,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,61.904762268066406,55,50,68.42105102539063,66.66667175292969,47.619049072265625,47.619049072265625,8.003288269042969,17179869184,0,9321267200,0
202,1764541078125,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80,80,76.19047546386719,86.36363983154297,85,90,80.95238494873047,8.003288269042969,17179869184,0,9593864192,0
200,1764541078330,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,7.9502058029174805,17179869184,0,9783263232,0
204,1764541078531,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,7.9502058029174805,17179869184,0,9783263232,0
204,1764541078736,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,95.23809814453125,100,100,7.9502058029174805,17179869184,0,9783263232,0
204,1764541078940,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,85.71428680419922,95,85.71428680419922,80,76.19047546386719,57.142860412597656,61.904762268066406,7.9502058029174805,17179869184,0,9783263232,0
207,1764541079146,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,75,80.95238494873047,80.95238494873047,65,47.36842346191406,80,55,7.9502058029174805,17179869184,0,10085646336,0
197,1764541079355,3204,3204,3204,3204,3204,3204,3204,3204,68.18181610107422,63.6363639831543,61.904762268066406,68.42105102539063,76.19047546386719,81.81818389892578,61.904762268066406,80.95238494873047,14.444070816040039,17179869184,0,10121904128,0
204,1764541079554,3204,3204,3204,3204,3204,3204,3204,3204,40,45,35,42.85714340209961,94.73684692382813,90,90,90,14.444070816040039,17179869184,0,10121904128,0
202,1764541079758,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,26.3157901763916,26.3157901763916,20,61.904762268066406,70,55,90,14.444070816040039,17179869184,0,10121904128,0
204,1764541079961,3204,3204,3204,3204,3204,3204,3204,3204,73.68421173095703,38.095237731933594,38.095237731933594,57.142860412597656,85,80,25,33.333335876464844,14.444070816040039,17179869184,0,10121904128,0
202,1764541080166,3204,3204,3204,3204,3204,3204,3204,3204,50,52.6315803527832,42.85714340209961,42.105262756347656,33.333335876464844,60.000003814697266,19.047618865966797,5,23.442092895507813,17179869184,0,10145824768,0
200,1764541080369,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,15.789472579956055,19.047618865966797,55,20,15.000000953674316,28.571430206298828,23.442092895507813,17179869184,0,10142203904,0
204,1764541080569,3204,3204,3204,3204,3204,3204,3204,3204,25,21.052631378173828,15.000000953674316,23.809524536132813,40,57.142860412597656,42.85714340209961,21.052631378173828,23.442092895507813,17179869184,0,10166435840,0
203,1764541080774,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,60.000003814697266,61.904762268066406,57.894737243652344,90,90,78.94737243652344,80.95238494873047,23.442092895507813,17179869184,0,10248912896,0
201,1764541080978,3204,3204,3204,3204,3204,3204,3204,3204,35,30.000001907348633,30.000001907348633,25,59.09090805053711,50,57.142860412597656,70,23.442092895507813,17179869184,0,10248912896,0
204,1764541081179,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,25,15.789472579956055,19.047618865966797,78.94737243652344,61.904762268066406,47.36842346191406,75,20.374425888061523,17179869184,0,10293411840,0
204,1764541081384,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,66.66667175292969,71.42857360839844,68.42105102539063,90,85.71428680419922,80.95238494873047,90,20.374425888061523,17179869184,0,10343022592,0
203,1764541081589,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,33.333335876464844,25,28.571430206298828,61.904762268066406,68.42105102539063,52.38095474243164,61.904762268066406,20.374425888061523,17179869184,0,10338140160,0
200,1764541081793,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95,95,95,30.000001907348633,27.272727966308594,20,15.000000953674316,20.374425888061523,17179869184,0,10355441664,0
203,1764541081994,3204,3204,3204,3204,3204,3204,3204,3204,45,50,42.85714340209961,35,65,52.6315803527832,38.095237731933594,23.809524536132813,20.374425888061523,17179869184,0,10475732992,0
204,1764541082197,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,31.57894515991211,31.57894515991211,23.809524536132813,35,40,25,15.789472579956055,18.513843536376953,17179869184,0,10404659200,0
201,1764541082403,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,23.809524536132813,14.285715103149414,15.789472579956055,19.047618865966797,10,5,4.761904716491699,18.513843536376953,17179869184,0,10406199296,0
204,1764541082604,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,23.809524536132813,19.047618865966797,14.285715103149414,10.526315689086914,14.285715103149414,10,14.285715103149414,18.513843536376953,17179869184,0,10409361408,0
204,1764541082809,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,25,20,23.809524536132813,33.333335876464844,25,0,10.526315689086914,18.513843536376953,17179869184,0,10385342464,0
201,1764541083014,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,26.3157901763916,20,15.789472579956055,15.000000953674316,10,9.523809432983398,9.090909004211426,18.513843536376953,17179869184,0,10395320320,0
202,1764541083216,3204,3204,3204,3204,3204,3204,3204,3204,25,31.81818199157715,30.000001907348633,20,10,4.761904716491699,0,0,17.917591094970703,17179869184,0,10393436160,0
204,1764541083419,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,26.3157901763916,20,30.000001907348633,28.571430206298828,35,20,14.285715103149414,17.917591094970703,17179869184,0,10376085504,0
204,1764541083624,3204,3204,3204,3204,3204,3204,3204,3204,40,38.095237731933594,40,33.333335876464844,25,25,23.809524536132813,20,17.917591094970703,17179869184,0,10411458560,0
204,1764541083829,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,26.3157901763916,28.571430206298828,28.571430206298828,5,0,0,0,17.917591094970703,17179869184,0,10411245568,0
204,1764541084034,3204,3204,3204,3204,3204,3204,3204,3204,40,42.85714340209961,40,47.619049072265625,14.285715103149414,18.18181800842285,20,9.523809432983398,17.917591094970703,17179869184,0,10403250176,0
200,1764541084239,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,28.571430206298828,25,15.789472579956055,10,0,4.761904716491699,0,9.608190536499023,17179869184,0,10403463168,0
203,1764541084440,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,26.3157901763916,25,19.047618865966797,55,42.105262756347656,5,9.523809432983398,9.608190536499023,17179869184,0,10423058432,0
204,1764541084643,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,35,33.333335876464844,26.3157901763916,45.45454788208008,23.809524536132813,20,10,9.608190536499023,17179869184,0,10476797952,0
204,1764541084848,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,28.571430206298828,33.333335876464844,31.57894515991211,25,14.285715103149414,10,9.608190536499023,17179869184,0,10469015552,0
204,1764541085053,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,20,20,15.000000953674316,15.000000953674316,15.000000953674316,4.761904716491699,9.608190536499023,17179869184,0,10462707712,0
202,1764541085258,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,10.526315689086914,14.285715103149414,14.285715103149414,5,4.761904716491699,0,9.823599815368652,17179869184,0,10464722944,0
204,1764541085461,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,28.571430206298828,20,15.000000953674316,9.523809432983398,9.523809432983398,0,4.761904716491699,9.823599815368652,17179869184,0,10462494720,0
204,1764541085666,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,38.095237731933594,23.809524536132813,10,9.523809432983398,9.090909004211426,0,9.823599815368652,17179869184,0,10475241472,0
204,1764541085871,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,52.6315803527832,52.38095474243164,45,50,35,40,35,9.823599815368652,17179869184,0,10505961472,0
204,1764541086076,3204,3204,3204,3204,3204,3204,3204,3204,25,20,15.000000953674316,20,5,9.523809432983398,9.523809432983398,0,9.823599815368652,17179869184,0,10506567680,0
204,1764541086281,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,23.809524536132813,42.85714340209961,33.333335876464844,9.523809432983398,0,0,5,11.788190841674805,17179869184,0,10508779520,0
200,1764541086485,3204,3204,3204,3204,3204,3204,3204,3204,25,20,10.526315689086914,15.000000953674316,5,4.761904716491699,0,0,11.788190841674805,17179869184,0,10507649024,0
204,1764541086686,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,25,25,35,20,14.285715103149414,9.523809432983398,9.523809432983398,11.788190841674805,17179869184,0,10509926400,0
201,1764541086891,3204,3204,3204,3204,3204,3204,3204,3204,20,25,19.047618865966797,15.000000953674316,10,10,14.285715103149414,10,11.788190841674805,17179869184,0,10509926400,0
204,1764541087092,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,31.57894515991211,35,19.047618865966797,15.000000953674316,5,0,0,11.788190841674805,17179869184,0,10509926400,0
202,1764541087297,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,33.333335876464844,31.57894515991211,21.052631378173828,9.523809432983398,0,0,4.761904716491699,9.812458038330078,17179869184,0,10449518592,0
201,1764541087500,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,55,54.54545593261719,52.38095474243164,50,47.619049072265625,40.90909194946289,33.333335876464844,9.812458038330078,17179869184,0,10449305600,0
204,1764541087702,3204,3204,3204,3204,3204,3204,3204,3204,25,28.571430206298828,15.789472579956055,15.789472579956055,15.000000953674316,5,20,15.000000953674316,9.812458038330078,17179869184,0,10449436672,0
204,1764541087907,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,20,25,19.047618865966797,14.285715103149414,5,0,0,9.812458038330078,17179869184,0,10449436672,0
204,1764541088112,3204,3204,3204,3204,3204,3204,3204,3204,25,30.000001907348633,23.809524536132813,14.285715103149414,10,14.285715103149414,4.761904716491699,0,9.812458038330078,17179869184,0,10449436672,0
200,1764541088317,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,33.333335876464844,38.095237731933594,31.57894515991211,0,0,0,0,9.038174629211426,17179869184,0,10454695936,0
204,1764541088518,3204,3204,3204,3204,3204,3204,3204,3204,40,35,26.3157901763916,28.571430206298828,10,0,0,0,9.038174629211426,17179869184,0,10419470336,0
204,1764541088723,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,31.57894515991211,30.000001907348633,28.571430206298828,0,4.761904716491699,0,0,9.038174629211426,17179869184,0,10415538176,0
204,1764541088927,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,23.809524536132813,19.047618865966797,15.789472579956055,25,19.047618865966797,9.523809432983398,5,9.038174629211426,17179869184,0,10445045760,0
204,1764541089132,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,42.85714340209961,40,33.333335876464844,57.142860412597656,55,40,36.3636360168457,9.038174629211426,17179869184,0,10445045760,0
200,1764541089337,3204,3204,3204,3204,3204,3204,3204,3204,20,21.052631378173828,20,10,14.285715103149414,5,0,0,9.4739990234375,17179869184,0,10515398656,0
204,1764541089538,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,14.285715103149414,10,20,10,9.523809432983398,5,9.4739990234375,17179869184,0,10515529728,0
202,1764541089743,3204,3204,3204,3204,3204,3204,3204,3204,35,40,25,20,25,23.809524536132813,15.000000953674316,10,9.4739990234375,17179869184,0,10522525696,0
204,1764541089946,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.000000953674316,10,10,15.000000953674316,5,5,4.761904716491699,9.4739990234375,17179869184,0,10522312704,0
201,1764541090150,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,33.333335876464844,25,23.809524536132813,14.285715103149414,38.095237731933594,9.523809432983398,5.263157844543457,9.4739990234375,17179869184,0,10523197440,0
204,1764541090352,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,65,65,65,60.000003814697266,57.894737243652344,65,40,9.925671577453613,17179869184,0,10591977472,0
204,1764541090557,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,55,47.619049072265625,47.619049072265625,10,9.523809432983398,0,4.761904716491699,9.925671577453613,17179869184,0,10577985536,0
204,1764541090762,3204,3204,3204,3204,3204,3204,3204,3204,70,71.42857360839844,70,75,4.761904716491699,4.761904716491699,4.761904716491699,0,9.925671577453613,17179869184,0,10577985536,0
200,1764541090967,3204,3204,3204,3204,3204,3204,3204,3204,90,90,90,85,5,0,4.761904716491699,4.761904716491699,9.925671577453613,17179869184,0,10577985536,0
201,1764541091168,3204,3204,3204,3204,3204,3204,3204,3204,65,55,55,55,15.000000953674316,10,5,0,9.69556999206543,17179869184,0,10577985536,0
203,1764541091370,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,95,90,90,30.000001907348633,23.809524536132813,15.000000953674316,10,9.69556999206543,17179869184,0,10591633408,0
204,1764541091574,3204,3204,3204,3204,3204,3204,3204,3204,89.47368621826172,85,80.95238494873047,80.95238494873047,10,0,0,0,9.69556999206543,17179869184,0,10580328448,0
204,1764541091778,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,85.71428680419922,89.47368621826172,85,19.047618865966797,5,4.761904716491699,0,9.69556999206543,17179869184,0,10534830080,0
201,1764541091983,3204,3204,3204,3204,3204,3204,3204,3204,85,89.47368621826172,80.95238494873047,90,5,9.090909004211426,0,8.69565200805664,9.69556999206543,17179869184,0,10536648704,0
202,1764541092185,3204,3204,3204,3204,3204,3204,3204,3204,100,95,95.23809814453125,100,0,0,0,0,11.10575008392334,17179869184,0,10536648704,0
204,1764541092388,3204,3204,3204,3204,3204,3204,3204,3204,89.47368621826172,85,85,90,14.285715103149414,5.263157844543457,9.523809432983398,5.263157844543457,11.10575008392334,17179869184,0,10532421632,0
200,1764541092592,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,95.23809814453125,45,42.85714340209961,30.000001907348633,23.809524536132813,11.10575008392334,17179869184,0,10533306368,0
203,1764541092793,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90.90909576416016,94.73684692382813,90,31.57894515991211,15.000000953674316,26.3157901763916,5,11.10575008392334,17179869184,0,10529292288,0
204,1764541092996,3204,3204,3204,3204,3204,3204,3204,3204,90,89.47368621826172,85.71428680419922,90,71.42857360839844,75,61.904762268066406,47.36842346191406,11.10575008392334,17179869184,0,10529292288,0
204,1764541093201,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,40,33.333335876464844,33.333335876464844,40,70,36.3636360168457,33.333335876464844,9.556398391723633,17179869184,0,10529292288,0
204,1764541093406,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,30.000001907348633,30.000001907348633,35,33.333335876464844,25,20,9.556398391723633,17179869184,0,10484924416,0
201,1764541093610,3204,3204,3204,3204,3204,3204,3204,3204,20,20,25,15.000000953674316,19.047618865966797,10,0,9.090909004211426,9.556398391723633,17179869184,0,10501750784,0
200,1764541093811,3204,3204,3204,3204,3204,3204,3204,3204,40,55,40,31.57894515991211,10.526315689086914,10,5,0,9.556398391723633,17179869184,0,10484432896,0
204,1764541094012,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,36.842105865478516,20,19.047618865966797,0,0,0,0,9.556398391723633,17179869184,0,10481811456,0
204,1764541094217,3204,3204,3204,3204,3204,3204,3204,3204,55,19.047618865966797,15.000000953674316,9.523809432983398,33.333335876464844,25,47.619049072265625,28.571430206298828,13.53303050994873,17179869184,0,10412916736,0
204,1764541094422,3204,3204,3204,3204,3204,3204,3204,3204,45,40,47.619049072265625,31.57894515991211,85,71.42857360839844,52.38095474243164,45,13.53303050994873,17179869184,0,10385424384,0
203,1764541094626,3204,3204,3204,3204,3204,3204,3204,3204,52.38095474243164,57.142860412597656,50,47.619049072265625,40,61.904762268066406,10,19.047618865966797,13.53303050994873,17179869184,0,10422632448,0
204,1764541094830,3204,3204,3204,3204,3204,3204,3204,3204,45,35,36.842105865478516,30.000001907348633,19.047618865966797,5,5,0,13.53303050994873,17179869184,0,10397515776,0
204,1764541095035,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,19.047618865966797,15.000000953674316,9.523809432983398,5,4.761904716491699,4.761904716491699,13.53303050994873,17179869184,0,10396909568,0
204,1764541095240,3204,3204,3204,3204,3204,3204,3204,3204,20,25,19.047618865966797,19.047618865966797,20,19.047618865966797,15.000000953674316,15.000000953674316,9.846898078918457,17179869184,0,10394533888,0
204,1764541095445,3204,3204,3204,3204,3204,3204,3204,3204,35,23.809524536132813,25,25,9.523809432983398,5,0,0,9.846898078918457,17179869184,0,10399203328,0
203,1764541095649,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,40,35,28.571430206298828,25,33.333335876464844,22.72727394104004,10,9.846898078918457,17179869184,0,10384572416,0
200,1764541095854,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,30.000001907348633,23.809524536132813,15.000000953674316,42.85714340209961,42.105262756347656,35,23.809524536132813,9.846898078918457,17179869184,0,10385358848,0
204,1764541096054,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,21.052631378173828,10.526315689086914,10,10.526315689086914,4.761904716491699,0,5,9.846898078918457,17179869184,0,10382819328,0
200,1764541096260,3204,3204,3204,3204,3204,3204,3204,3204,20,15.000000953674316,19.047618865966797,10,13.636363983154297,5,4.761904716491699,0,12.937670707702637,17179869184,0,10382819328,0
201,1764541096461,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,15.789472579956055,10,0,0,0,0,12.937670707702637,17179869184,0,10377412608,0
204,1764541096663,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,31.57894515991211,28.571430206298828,25,5.263157844543457,10,0,5,12.937670707702637,17179869184,0,10379526144,0
201,1764541096867,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,19.047618865966797,10,30.000001907348633,19.047618865966797,10,9.523809432983398,12.937670707702637,17179869184,0,10388897792,0
200,1764541097069,3204,3204,3204,3204,3204,3204,3204,3204,10,5,5.263157844543457,4.761904716491699,25,10,10,5,12.937670707702637,17179869184,0,10424156160,0
204,1764541097269,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.789472579956055,19.047618865966797,10,14.285715103149414,4.761904716491699,4.761904716491699,0,9.84694766998291,17179869184,0,10424156160,0
200,1764541097474,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,18.18181800842285,10,5,0,0,0,0,9.84694766998291,17179869184,0,10448388096,0
204,1764541097675,3204,3204,3204,3204,3204,3204,3204,3204,10,5.263157844543457,10,5,0,0,0,0,9.84694766998291,17179869184,0,10447716352,0
204,1764541097880,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,23.809524536132813,14.285715103149414,10,0,0,0,0,9.84694766998291,17179869184,0,10447716352,0
201,1764541098085,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,10,14.285715103149414,0,0,0,0,9.84694766998291,17179869184,0,10447716352,0
203,1764541098287,3204,3204,3204,3204,3204,3204,3204,3204,10,5.263157844543457,5,5,0,0,0,0,8.694832801818848,17179869184,0,10447716352,0
202,1764541098491,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.000000953674316,15.000000953674316,9.523809432983398,0,0,0,0,8.694832801818848,17179869184,0,10421338112,0
203,1764541098694,3204,3204,3204,3204,3204,3204,3204,3204,10,9.523809432983398,9.523809432983398,10,9.523809432983398,0,0,9.090909004211426,8.694832801818848,17179869184,0,10430365696,0
204,1764541098898,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,10.526315689086914,10,0,4.761904716491699,0,0,8.694832801818848,17179869184,0,10418159616,0
203,1764541099103,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,33.333335876464844,23.809524536132813,4.761904716491699,4.761904716491699,4.761904716491699,0,8.694832801818848,17179869184,0,10385555456,0
202,1764541099307,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,23.809524536132813,15.000000953674316,5,0,4.761904716491699,0,7.762581825256348,17179869184,0,10386472960,0
201,1764541099510,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,15.000000953674316,10.526315689086914,15.000000953674316,0,0,0,0,7.762581825256348,17179869184,0,10386440192,0
204,1764541099711,3204,3204,3204,3204,3204,3204,3204,3204,25,28.571430206298828,25,25,57.142860412597656,30.000001907348633,15.789472579956055,5,7.762581825256348,17179869184,0,10375856128,0
200,1764541099916,3204,3204,3204,3204,3204,3204,3204,3204,70,65,61.904762268066406,61.904762268066406,94.73684692382813,90,95.23809814453125,90,7.762581825256348,17179869184,0,10401447936,0
204,1764541100117,3204,3204,3204,3204,3204,3204,3204,3204,25,20,10,5.263157844543457,60.000003814697266,40,25,30.000001907348633,7.762581825256348,17179869184,0,10408787968,0
204,1764541100322,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,25,25,15.000000953674316,61.904762268066406,57.142860412597656,42.85714340209961,30.000001907348633,7.981191635131836,17179869184,0,10418847744,0
200,1764541100527,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,28.571430206298828,20,19.047618865966797,45,31.57894515991211,25,28.571430206298828,7.981191635131836,17179869184,0,10408476672,0
202,1764541100727,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,10,9.523809432983398,5.263157844543457,10,9.090909004211426,0,0,7.981191635131836,17179869184,0,10408198144,0
204,1764541100930,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,20,10,18.18181800842285,20,10,10,10.526315689086914,7.981191635131836,17179869184,0,10398121984,0
199,1764541101136,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.000000953674316,10,5.263157844543457,9.090909004211426,0,4.761904716491699,0,7.981191635131836,17179869184,0,10398121984,0
204,1764541101336,3204,3204,3204,3204,3204,3204,3204,3204,25,20,21.052631378173828,23.809524536132813,5.263157844543457,5,0,0,13.620352745056152,17179869184,0,10398121984,0
200,1764541101540,3204,3204,3204,3204,3204,3204,3204,3204,25,15.789472579956055,19.047618865966797,14.285715103149414,55,42.85714340209961,20,19.047618865966797,13.620352745056152,17179869184,0,10413260800,0
204,1764541101741,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,19.047618865966797,10,5.263157844543457,5,0,4.761904716491699,5,13.620352745056152,17179869184,0,10402725888,0
204,1764541101946,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,9.523809432983398,10,5,14.285715103149414,9.523809432983398,0,0,13.620352745056152,17179869184,0,10402250752,0
204,1764541102151,3204,3204,3204,3204,3204,3204,3204,3204,20,20,19.047618865966797,19.047618865966797,4.761904716491699,0,0,0,13.620352745056152,17179869184,0,10401349632,0
200,1764541102356,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,20,20,0,0,0,4.545454502105713,10.57559585571289,17179869184,0,10401284096,0
200,1764541102557,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,15.000000953674316,15.000000953674316,10,5.263157844543457,9.523809432983398,5,5,10.57559585571289,17179869184,0,10401153024,0
202,1764541102758,3204,3204,3204,3204,3204,3204,3204,3204,35,23.809524536132813,19.047618865966797,10.526315689086914,28.571430206298828,10,14.285715103149414,5,10.57559585571289,17179869184,0,10403692544,0
204,1764541102960,3204,3204,3204,3204,3204,3204,3204,3204,20,10.526315689086914,10,9.523809432983398,35,30.000001907348633,23.809524536132813,15.000000953674316,10.57559585571289,17179869184,0,10401792000,0
203,1764541103166,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,10.526315689086914,15.000000953674316,5,5,0,0,9.027728080749512,17179869184,0,10400432128,0
201,1764541103370,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,27.272727966308594,28.571430206298828,9.523809432983398,4.761904716491699,0,4.761904716491699,9.027728080749512,17179869184,0,10386030592,0
