Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764525567228,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,0,NaN,0,NaN,0,5.930458068847656,17179869184,0,9742630912,0
204,1764525567228,3204,3204,3204,3204,3204,3204,3204,3204,NaN,0,100,0,0,NaN,0,NaN,5.930458068847656,17179869184,0,9742467072,0
203,1764525567432,3204,3204,3204,3204,3204,3204,3204,3204,40,21.052631378173828,10.526315689086914,10,50,15.000000953674316,5,4.761904716491699,5.9431610107421875,17179869184,0,9758851072,0
202,1764525567636,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,54.54545593261719,52.38095474243164,47.36842346191406,60.000003814697266,57.142860412597656,47.619049072265625,42.105262756347656,5.9431610107421875,17179869184,0,9834414080,0
211,1764525567839,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,75,70,72.7272720336914,90,90.47618865966797,85,72.7272720336914,5.9431610107421875,17179869184,0,9922543616,0
188,1764525568068,3204,3204,3204,3204,3204,3204,3204,3204,72.7272720336914,71.42857360839844,72.7272720336914,72.7272720336914,78.26087188720703,81.81818389892578,69.56521606445313,66.66667175292969,5.9431610107421875,17179869184,0,10040803328,0
203,1764525568256,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,5.9431610107421875,17179869184,0,10056990720,0
204,1764525568460,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,5.920414447784424,17179869184,0,10056990720,0
201,1764525568665,3204,3204,3204,3204,3204,3204,3204,3204,89.47368621826172,76.19047546386719,65,85.71428680419922,80,66.66667175292969,80,57.142860412597656,5.920414447784424,17179869184,0,10056990720,0
202,1764525568867,3204,3204,3204,3204,3204,3204,3204,3204,61.904762268066406,65,60.000003814697266,80,70,63.15789031982422,60.000003814697266,70,5.920414447784424,17179869184,0,10555293696,0
204,1764525569070,3204,3204,3204,3204,3204,3204,3204,3204,55,42.105262756347656,52.38095474243164,45,66.66667175292969,66.66667175292969,75,63.15789031982422,5.920414447784424,17179869184,0,10574643200,0
204,1764525569275,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.142860412597656,55,61.904762268066406,95,90,95.23809814453125,90.47618865966797,5.920414447784424,17179869184,0,10613932032,0
203,1764525569480,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,20,21.052631378173828,80,90,66.66667175292969,66.66667175292969,7.193892002105713,17179869184,0,10628251648,0
203,1764525569684,3204,3204,3204,3204,3204,3204,3204,3204,63.15789031982422,60.000003814697266,57.142860412597656,57.142860412597656,80.95238494873047,72.7272720336914,55,65,7.193892002105713,17179869184,0,10619895808,0
200,1764525569888,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,25,42.105262756347656,30.000001907348633,23.809524536132813,36.842105865478516,30.000001907348633,25,7.193892002105713,17179869184,0,10611523584,0
204,1764525570089,3204,3204,3204,3204,3204,3204,3204,3204,10.526315689086914,15.000000953674316,9.523809432983398,9.523809432983398,21.052631378173828,52.38095474243164,35,9.523809432983398,7.193892002105713,17179869184,0,10603986944,0
