Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764500678720,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,NaN,0,NaN,100,NaN,NaN,19.76639747619629,17179869184,0,8260386816,0
199,1764500678720,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,0,NaN,100,NaN,NaN,NaN,19.76639747619629,17179869184,0,8261402624,0
200,1764500678920,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,35,36.842105865478516,31.57894515991211,84.21052551269531,78.94737243652344,73.68421173095703,70,19.76639747619629,17179869184,0,8298807296,0
204,1764500679121,3204,3204,3204,3204,3204,3204,3204,3204,84.21052551269531,84.21052551269531,80,78.94737243652344,95,100,100,95,19.92647361755371,17179869184,0,8423669760,0
206,1764500679326,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,19.92647361755371,17179869184,0,8543272960,0
205,1764500679532,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,95.23809814453125,100,100,19.92647361755371,17179869184,0,8543272960,0
200,1764500679739,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,19.92647361755371,17179869184,0,8962097152,0
199,1764500679940,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,95,100,19.92647361755371,17179869184,0,9094922240,0
200,1764500680140,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,95,95,94.73684692382813,90,20.889659881591797,17179869184,0,9094922240,0
200,1764500680341,3204,3204,3204,3204,3204,3204,3204,3204,85,80,85,80,95,94.73684692382813,94.73684692382813,94.73684692382813,20.889659881591797,17179869184,0,9094922240,0
205,1764500680541,3204,3204,3204,3204,3204,3204,3204,3204,85,80.95238494873047,80,78.94737243652344,94.44444274902344,89.47368621826172,90,83.33332824707031,20.889659881591797,17179869184,0,9094922240,0
204,1764500680746,3204,3204,3204,3204,3204,3204,3204,3204,80,78.94737243652344,80,76.19047546386719,95.23809814453125,95.23809814453125,100,95.23809814453125,20.889659881591797,17179869184,0,9469034496,0
205,1764500680951,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.894737243652344,50,47.36842346191406,94.73684692382813,94.44444274902344,89.47368621826172,85,20.889659881591797,17179869184,0,9480159232,0
204,1764500681157,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,50,45,40,95.23809814453125,90.47618865966797,90.90909576416016,95,26.951396942138672,17179869184,0,9480159232,0
204,1764500681362,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,26.3157901763916,22.22222328186035,16.666667938232422,94.73684692382813,94.73684692382813,88.8888931274414,85.71428680419922,26.951396942138672,17179869184,0,9480159232,0
200,1764500681567,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,21.052631378173828,15.789472579956055,15.789472579956055,95,85,80,78.94737243652344,26.951396942138672,17179869184,0,9480159232,0
204,1764500681768,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,26.3157901763916,21.052631378173828,15.789472579956055,90.47618865966797,84.21052551269531,85,84.21052551269531,26.951396942138672,17179869184,0,9438085120,0
203,1764500681973,3204,3204,3204,3204,3204,3204,3204,3204,95,95,95,95,100,100,100,95,24.733728408813477,17179869184,0,9616867328,0
201,1764500682176,3204,3204,3204,3204,3204,3204,3204,3204,80,73.68421173095703,71.42857360839844,71.42857360839844,100,100,100,100,24.733728408813477,17179869184,0,9647931392,0
203,1764500682378,3204,3204,3204,3204,3204,3204,3204,3204,85,90.47618865966797,80,80,100,100,95.23809814453125,100,24.733728408813477,17179869184,0,9736667136,0
204,1764500682581,3204,3204,3204,3204,3204,3204,3204,3204,80,80,75,75,95.45454406738281,100,100,100,24.733728408813477,17179869184,0,9817243648,0
202,1764500682786,3204,3204,3204,3204,3204,3204,3204,3204,73.68421173095703,65,63.15789031982422,60.000003814697266,100,100,100,95.23809814453125,24.733728408813477,17179869184,0,9813934080,0
202,1764500682989,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,70,70,68.42105102539063,100,95,100,100,23.97212028503418,17179869184,0,9866559488,0
204,1764500683191,3204,3204,3204,3204,3204,3204,3204,3204,55.55555725097656,52.6315803527832,47.36842346191406,45,89.47368621826172,89.47368621826172,85,89.47368621826172,23.97212028503418,17179869184,0,9885188096,0
201,1764500683396,3204,3204,3204,3204,3204,3204,3204,3204,55,47.36842346191406,45,45,90,89.47368621826172,90,80,23.97212028503418,17179869184,0,9817980928,0
204,1764500683598,3204,3204,3204,3204,3204,3204,3204,3204,44.4444465637207,36.842105865478516,31.57894515991211,26.3157901763916,94.73684692382813,95.23809814453125,94.73684692382813,95,23.97212028503418,17179869184,0,9815228416,0
203,1764500683803,3204,3204,3204,3204,3204,3204,3204,3204,50,36.842105865478516,36.842105865478516,33.333335876464844,95,100,95,94.73684692382813,23.97212028503418,17179869184,0,9819799552,0
201,1764500684006,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,42.105262756347656,36.842105865478516,40,95.23809814453125,100,95,95.23809814453125,27.394411087036133,17179869184,0,9865445376,0
200,1764500684207,3204,3204,3204,3204,3204,3204,3204,3204,80,75,75,70,100,95.23809814453125,100,100,27.394411087036133,17179869184,0,9830973440,0
200,1764500684408,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,52.6315803527832,52.6315803527832,50,95,100,95,95,27.394411087036133,17179869184,0,9830973440,0
200,1764500684608,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,26.3157901763916,21.052631378173828,15.789472579956055,89.47368621826172,89.47368621826172,84.21052551269531,78.94737243652344,27.394411087036133,17179869184,0,9830973440,0
200,1764500684808,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,26.3157901763916,26.3157901763916,21.052631378173828,94.73684692382813,89.47368621826172,88.8888931274414,85,27.394411087036133,17179869184,0,9918185472,0
201,1764500685009,3204,3204,3204,3204,3204,3204,3204,3204,38.88888931274414,22.22222328186035,22.22222328186035,21.052631378173828,89.47368621826172,84.21052551269531,90,83.33332824707031,24.183738708496094,17179869184,0,9911353344,0
201,1764500685210,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,26.3157901763916,21.052631378173828,25,85,90,85,85,24.183738708496094,17179869184,0,9915383808,0
199,1764500685412,3204,3204,3204,3204,3204,3204,3204,3204,50,38.88888931274414,40,33.333335876464844,95,95.23809814453125,95,95,24.183738708496094,17179869184,0,9934028800,0
200,1764500685612,3204,3204,3204,3204,3204,3204,3204,3204,55,47.36842346191406,47.36842346191406,42.105262756347656,94.73684692382813,100,95,94.73684692382813,24.183738708496094,17179869184,0,9932554240,0
201,1764500685812,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,30.000001907348633,17.647058486938477,21.052631378173828,88.8888931274414,85,83.33332824707031,89.47368621826172,24.183738708496094,17179869184,0,9933373440,0
