Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764523359238,3204,3204,3204,3204,3204,3204,3204,3204,0,0,NaN,0,0,0,NaN,NaN,6.662904739379883,17179869184,0,9485959168,0
201,1764523359239,3204,3204,3204,3204,3204,3204,3204,3204,0,NaN,NaN,0,NaN,NaN,0,0,6.662904739379883,17179869184,0,9486794752,0
204,1764523359440,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,30.000001907348633,19.047618865966797,10.526315689086914,30.000001907348633,42.85714340209961,10,4.761904716491699,6.212017059326172,17179869184,0,9486794752,0
204,1764523359646,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,57.142860412597656,50,47.619049072265625,65,60.000003814697266,45.45454788208008,45,6.212017059326172,17179869184,0,9486794752,0
204,1764523359850,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,80,76.19047546386719,76.19047546386719,90.47618865966797,85.71428680419922,89.47368621826172,76.19047546386719,6.212017059326172,17179869184,0,9660383232,0
220,1764523360055,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,70,60.000003814697266,63.15789031982422,80,75,66.66667175292969,57.142860412597656,6.212017059326172,17179869184,0,9740976128,0
195,1764523360285,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,6.212017059326172,17179869184,0,9740976128,0
204,1764523360481,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,94.44444274902344,95,95,89.47368621826172,6.15285062789917,17179869184,0,9740976128,0
200,1764523360686,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,70,70,75,68.18181610107422,65,55,61.904762268066406,6.15285062789917,17179869184,0,9740976128,0
204,1764523360887,3204,3204,3204,3204,3204,3204,3204,3204,73.68421173095703,61.904762268066406,55,66.66667175292969,78.94737243652344,80.95238494873047,76.19047546386719,65,6.15285062789917,17179869184,0,10213670912,0
207,1764523361092,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,45,38.095237731933594,28.571430206298828,52.38095474243164,78.94737243652344,55,55,6.15285062789917,17179869184,0,10235150336,0
200,1764523361300,3204,3204,3204,3204,3204,3204,3204,3204,80,75,73.68421173095703,75,100,80.95238494873047,71.42857360839844,85.71428680419922,6.15285062789917,17179869184,0,10305323008,0
204,1764523361501,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,52.38095474243164,50,89.47368621826172,100,95,90,6.63178825378418,17179869184,0,10331357184,0
202,1764523361706,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,33.333335876464844,28.571430206298828,20,66.66667175292969,60.000003814697266,65,42.85714340209961,6.63178825378418,17179869184,0,10331357184,0
201,1764523361909,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,25,15.789472579956055,15.000000953674316,36.842105865478516,50,50,25,6.63178825378418,17179869184,0,10266427392,0
201,1764523362111,3204,3204,3204,3204,3204,3204,3204,3204,10,10,15.000000953674316,5,57.142860412597656,21.052631378173828,23.809524536132813,20,6.63178825378418,17179869184,0,10256056320,0
203,1764523362312,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,10,9.523809432983398,9.523809432983398,55,30.000001907348633,20,10,6.63178825378418,17179869184,0,10248470528,0
203,1764523362517,3204,3204,3204,3204,3204,3204,3204,3204,10,10,0,0,40,42.85714340209961,30.000001907348633,9.523809432983398,18.699058532714844,17179869184,0,10249863168,0
204,1764523362720,3204,3204,3204,3204,3204,3204,3204,3204,90,90,80.95238494873047,85,80.95238494873047,85,75,85.71428680419922,18.699058532714844,17179869184,0,10358603776,0
204,1764523362925,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,27.272727966308594,23.809524536132813,23.809524536132813,84.21052551269531,70,61.904762268066406,63.15789031982422,18.699058532714844,17179869184,0,10330800128,0
204,1764523363130,3204,3204,3204,3204,3204,3204,3204,3204,25,16.666667938232422,15.000000953674316,15.000000953674316,63.6363639831543,50,70,75,18.699058532714844,17179869184,0,10379460608,0
201,1764523363335,3204,3204,3204,3204,3204,3204,3204,3204,26.3157901763916,31.81818199157715,26.3157901763916,25,55,61.904762268066406,85.71428680419922,75,18.699058532714844,17179869184,0,10410639360,0
204,1764523363537,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,0,9.523809432983398,0,45,55,15.789472579956055,66.66667175292969,19.778419494628906,17179869184,0,10402840576,0
201,1764523363742,3204,3204,3204,3204,3204,3204,3204,3204,50,65,35,40.90909194946289,38.095237731933594,19.047618865966797,18.18181800842285,9.523809432983398,19.778419494628906,17179869184,0,10449698816,0
199,1764523363944,3204,3204,3204,3204,3204,3204,3204,3204,65,33.333335876464844,14.285715103149414,15.000000953674316,0,0,0,0,19.778419494628906,17179869184,0,10506125312,0
202,1764523364143,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,31.57894515991211,31.57894515991211,21.052631378173828,35,30.000001907348633,21.052631378173828,55,19.778419494628906,17179869184,0,10563207168,0
201,1764523364347,3204,3204,3204,3204,3204,3204,3204,3204,25,23.809524536132813,14.285715103149414,14.285715103149414,25,30.000001907348633,25,28.571430206298828,19.778419494628906,17179869184,0,10432544768,0
202,1764523364548,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,15.789472579956055,15.000000953674316,9.523809432983398,20,50,5,10,15.497610092163086,17179869184,0,10432544768,0
204,1764523364751,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,20,20,15.789472579956055,23.809524536132813,23.809524536132813,22.72727394104004,10.526315689086914,15.497610092163086,17179869184,0,10432544768,0
203,1764523364956,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,38.095237731933594,26.3157901763916,30.000001907348633,15.789472579956055,20,15.000000953674316,18.18181800842285,15.497610092163086,17179869184,0,10447355904,0
201,1764523365160,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,42.85714340209961,38.095237731933594,42.85714340209961,28.571430206298828,21.052631378173828,20,15.789472579956055,15.497610092163086,17179869184,0,10454302720,0
203,1764523365362,3204,3204,3204,3204,3204,3204,3204,3204,25,21.052631378173828,15.000000953674316,9.523809432983398,40,28.571430206298828,5,9.523809432983398,15.497610092163086,17179869184,0,10479353856,0
203,1764523365565,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,23.809524536132813,14.285715103149414,0,15.000000953674316,5,5.263157844543457,5,17.70841407775879,17179869184,0,10479353856,0
202,1764523365769,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,25,19.047618865966797,20,19.047618865966797,9.523809432983398,9.523809432983398,0,17.70841407775879,17179869184,0,10479353856,0
204,1764523365972,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,30.000001907348633,26.3157901763916,23.809524536132813,30.000001907348633,15.000000953674316,10,52.38095474243164,17.70841407775879,17179869184,0,10458480640,0
204,1764523366177,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,23.809524536132813,15.000000953674316,25,10,9.523809432983398,9.523809432983398,17.70841407775879,17179869184,0,10490249216,0
204,1764523366382,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,10,5,9.523809432983398,9.523809432983398,0,9.523809432983398,11.111366271972656,17179869184,0,10484514816,0
204,1764523366587,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,33.333335876464844,28.571430206298828,28.571430206298828,47.36842346191406,40,40,35,11.111366271972656,17179869184,0,10484514816,0
204,1764523366792,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,10,5,5,9.523809432983398,9.523809432983398,4.761904716491699,0,11.111366271972656,17179869184,0,10484514816,0
204,1764523366997,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,10,19.047618865966797,4.761904716491699,4.761904716491699,0,0,11.111366271972656,17179869184,0,10511007744,0
204,1764523367202,3204,3204,3204,3204,3204,3204,3204,3204,40,33.333335876464844,35,30.000001907348633,10,5.263157844543457,0,4.761904716491699,11.111366271972656,17179869184,0,10509631488,0
204,1764523367407,3204,3204,3204,3204,3204,3204,3204,3204,35,26.3157901763916,25,23.809524536132813,23.809524536132813,18.18181800842285,4.761904716491699,0,9.086771965026855,17179869184,0,10509418496,0
200,1764523367612,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,28.571430206298828,23.809524536132813,19.047618865966797,20,10.526315689086914,20,5,9.086771965026855,17179869184,0,10517004288,0
202,1764523367812,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,35,35,21.052631378173828,71.42857360839844,45,19.047618865966797,14.285715103149414,9.086771965026855,17179869184,0,10521903104,0
202,1764523368015,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,25,15.789472579956055,26.3157901763916,20,5.263157844543457,20,9.086771965026855,17179869184,0,10515283968,0
204,1764523368218,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,15.000000953674316,15.000000953674316,19.047618865966797,20,15.000000953674316,10,10,9.086771965026855,17179869184,0,10524524544,0
204,1764523368423,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,20,15.000000953674316,15.000000953674316,9.523809432983398,4.761904716491699,0,0,7.640622615814209,17179869184,0,10518806528,0
