Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764519130688,3204,3204,3204,3204,3204,3204,3204,3204,50,0,NaN,0,0,0,0,NaN,6.0600810050964355,17179869184,0,9567502336,0
204,1764519130688,3204,3204,3204,3204,3204,3204,3204,3204,NaN,NaN,0,0,100,0,0,0,6.0600810050964355,17179869184,0,9568387072,0
201,1764519130893,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,14.285715103149414,15.000000953674316,45,20,9.523809432983398,5,6.0600810050964355,17179869184,0,9586180096,0
202,1764519131095,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,55,55,50,75,65,47.36842346191406,47.619049072265625,6.0600810050964355,17179869184,0,9682059264,0
204,1764519131297,3204,3204,3204,3204,3204,3204,3204,3204,80.95238494873047,80,75,76.19047546386719,90,90,80.95238494873047,85,6.0600810050964355,17179869184,0,9743826944,0
200,1764519131502,3204,3204,3204,3204,3204,3204,3204,3204,90.47618865966797,90.47618865966797,95,94.73684692382813,100,95.23809814453125,95.23809814453125,95.23809814453125,6.002283096313477,17179869184,0,9923674112,0
201,1764519131704,3204,3204,3204,3204,3204,3204,3204,3204,100,100,95,95,100,100,100,100,6.002283096313477,17179869184,0,9991405568,0
203,1764519131905,3204,3204,3204,3204,3204,3204,3204,3204,100,100,100,100,100,100,100,100,6.002283096313477,17179869184,0,9991405568,0
204,1764519132109,3204,3204,3204,3204,3204,3204,3204,3204,95.23809814453125,95.23809814453125,100,95,100,100,100,100,6.002283096313477,17179869184,0,9991405568,0
203,1764519132314,3204,3204,3204,3204,3204,3204,3204,3204,85,75,76.19047546386719,85,80,75,85.71428680419922,80,6.002283096313477,17179869184,0,10246438912,0
205,1764519132518,3204,3204,3204,3204,3204,3204,3204,3204,60.000003814697266,55,55,57.142860412597656,50,80.95238494873047,75,57.142860412597656,7.075544834136963,17179869184,0,10238410752,0
202,1764519132724,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,71.42857360839844,61.904762268066406,66.66667175292969,90.47618865966797,95,85,95.23809814453125,7.075544834136963,17179869184,0,10238410752,0
204,1764519132926,3204,3204,3204,3204,3204,3204,3204,3204,68.42105102539063,60.000003814697266,60.000003814697266,57.894737243652344,85.71428680419922,85,80.95238494873047,80,7.075544834136963,17179869184,0,10238410752,0
201,1764519133131,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,15.789472579956055,15.789472579956055,15.000000953674316,31.57894515991211,38.095237731933594,42.105262756347656,14.285715103149414,7.075544834136963,17179869184,0,10238410752,0
204,1764519133333,3204,3204,3204,3204,3204,3204,3204,3204,5,9.523809432983398,9.090909004211426,9.523809432983398,19.047618865966797,57.894737243652344,9.523809432983398,15.000000953674316,7.075544834136963,17179869184,0,10258333696,0
204,1764519133538,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,9.523809432983398,0,5,66.66667175292969,23.809524536132813,28.571430206298828,5,21.73857879638672,17179869184,0,10229448704,0
204,1764519133743,3204,3204,3204,3204,3204,3204,3204,3204,10.526315689086914,5.263157844543457,14.285715103149414,9.523809432983398,30.000001907348633,52.38095474243164,25,15.000000953674316,21.73857879638672,17179869184,0,10247094272,0
203,1764519133948,3204,3204,3204,3204,3204,3204,3204,3204,85.71428680419922,85.71428680419922,85,85,90.47618865966797,89.47368621826172,80,80.95238494873047,21.73857879638672,17179869184,0,10247094272,0
204,1764519134152,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,40,40,35,70,68.18181610107422,75,60.000003814697266,21.73857879638672,17179869184,0,10247094272,0
204,1764519134357,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,20,23.809524536132813,15.000000953674316,66.66667175292969,84.21052551269531,55,52.38095474243164,21.73857879638672,17179869184,0,10355687424,0
202,1764519134562,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,33.333335876464844,20,23.809524536132813,75,66.66667175292969,76.19047546386719,65,20.65509605407715,17179869184,0,10401349632,0
203,1764519134764,3204,3204,3204,3204,3204,3204,3204,3204,71.42857360839844,70,65,65,80,70,85,75,20.65509605407715,17179869184,0,10430791680,0
200,1764519134968,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,10,19.047618865966797,15.000000953674316,10,28.571430206298828,19.047618865966797,10,20.65509605407715,17179869184,0,10431168512,0
201,1764519135169,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,30.000001907348633,40,28.571430206298828,10,5,5,0,20.65509605407715,17179869184,0,10431168512,0
203,1764519135370,3204,3204,3204,3204,3204,3204,3204,3204,35,28.571430206298828,20,15.000000953674316,40,30.000001907348633,25,23.809524536132813,20.65509605407715,17179869184,0,10555228160,0
204,1764519135574,3204,3204,3204,3204,3204,3204,3204,3204,25,15.789472579956055,14.285715103149414,15.000000953674316,33.333335876464844,10,15.000000953674316,20,14.431543350219727,17179869184,0,10446553088,0
204,1764519135779,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,10.526315689086914,10,15.000000953674316,19.047618865966797,18.18181800842285,10,14.431543350219727,17179869184,0,10446553088,0
200,1764519135984,3204,3204,3204,3204,3204,3204,3204,3204,47.619049072265625,47.619049072265625,47.619049072265625,35,57.142860412597656,70,50,52.38095474243164,14.431543350219727,17179869184,0,10446553088,0
204,1764519136185,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,26.3157901763916,20,19.047618865966797,47.36842346191406,35,35,33.333335876464844,14.431543350219727,17179869184,0,10446553088,0
204,1764519136390,3204,3204,3204,3204,3204,3204,3204,3204,20,35,15.000000953674316,10.526315689086914,14.285715103149414,14.285715103149414,5,0,14.431543350219727,17179869184,0,10499489792,0
203,1764519136594,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,10,9.523809432983398,20,10,9.523809432983398,5.263157844543457,16.533864974975586,17179869184,0,10502062080,0
203,1764519136798,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,19.047618865966797,15.000000953674316,5,0,0,4.545454502105713,16.533864974975586,17179869184,0,10502062080,0
202,1764519137002,3204,3204,3204,3204,3204,3204,3204,3204,20,22.72727394104004,10,9.523809432983398,0,0,0,0,16.533864974975586,17179869184,0,10502062080,0
204,1764519137205,3204,3204,3204,3204,3204,3204,3204,3204,18.18181800842285,47.36842346191406,10,14.285715103149414,5,0,42.105262756347656,0,16.533864974975586,17179869184,0,10502062080,0
204,1764519137410,3204,3204,3204,3204,3204,3204,3204,3204,52.6315803527832,40,35,30.000001907348633,35,35,66.66667175292969,19.047618865966797,16.533864974975586,17179869184,0,10493362176,0
204,1764519137615,3204,3204,3204,3204,3204,3204,3204,3204,10,14.285715103149414,9.523809432983398,20,19.047618865966797,19.047618865966797,18.18181800842285,10,10.035667419433594,17179869184,0,10508730368,0
204,1764519137820,3204,3204,3204,3204,3204,3204,3204,3204,35,25,20,20,5,0,0,0,10.035667419433594,17179869184,0,10504798208,0
201,1764519138025,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,19.047618865966797,10,14.285715103149414,10,4.761904716491699,0,0,10.035667419433594,17179869184,0,10504945664,0
204,1764519138226,3204,3204,3204,3204,3204,3204,3204,3204,25,25,23.809524536132813,15.000000953674316,9.090909004211426,0,0,0,10.035667419433594,17179869184,0,10509729792,0
204,1764519138432,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,10,15.000000953674316,5.263157844543457,9.523809432983398,4.761904716491699,0,10.035667419433594,17179869184,0,10508042240,0
203,1764519138636,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,25,60.000003814697266,35,61.904762268066406,38.095237731933594,35,33.333335876464844,8.035484313964844,17179869184,0,10529767424,0
204,1764519138840,3204,3204,3204,3204,3204,3204,3204,3204,20,14.285715103149414,22.72727394104004,18.18181800842285,20,15.000000953674316,14.285715103149414,10,8.035484313964844,17179869184,0,10512531456,0
204,1764519139045,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,15.789472579956055,30.000001907348633,38.095237731933594,33.333335876464844,15.789472579956055,20,8.035484313964844,17179869184,0,10520117248,0
204,1764519139250,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,35,30.000001907348633,30.000001907348633,20,18.18181800842285,14.285715103149414,8.035484313964844,17179869184,0,10511613952,0
203,1764519139455,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,15.000000953674316,10,9.523809432983398,5,4.761904716491699,0,0,8.035484313964844,17179869184,0,10510270464,0
